Station;Area;ICUL;Suborder;Family;Genus;Species;MorphoSpecies;#ind;Gear;Sampleunit1;Sampleunit2;Lat_start;Lat_end;Long_start;Long_end;depth_start;depth_end;Current velocity;Current direction;Salinity;Silicate;Phosphate;pH;Dissolved oxygen;Nitrate;Iron;Temperature;Lat_start_dec;Lat_end_dec;Long_start_dec;Long_end_dec
1_10;Bering Sea;ICUL13620;Tanaidomorpha;Cryptocopidae;Cryptocopoides;;sp. 1;1;EBS;Supra;300 µm;54° 31,419' N;54° 32,495' N;172° 36,594' W;172° 32,014' W;3517;3504;0.01239;218.06752;34.66093;272.29665;3.16769;7.61195;81.75994;39.29917;0.00073;1.29421;54.0087275;54.00902639;-172.010165;-172.0088928
1_10;Bering Sea;ICUL13613;Tanaidomorpha;Colletteidae;Leptognathiella;;sp. 3;9;EBS;Supra;300 µm;54° 31,419' N;54° 32,495' N;172° 36,594' W;172° 32,014' W;3517;3504;0.01239;218.06752;34.66093;272.29665;3.16769;7.61195;81.75994;39.29917;0.00073;1.29421;54.0087275;54.00902639;-172.010165;-172.0088928
1_10;Bering Sea;ICUL13618;Tanaidomorpha;Colletteidae;Leptognathiella;;sp. 1;3;EBS;Supra;300 µm;54° 31,419' N;54° 32,495' N;172° 36,594' W;172° 32,014' W;3517;3504;0.01239;218.06752;34.66093;272.29665;3.16769;7.61195;81.75994;39.29917;0.00073;1.29421;54.0087275;54.00902639;-172.010165;-172.0088928
1_10;Bering Sea;ICUL13619;Tanaidomorpha;Colletteidae;Leptognathiopsis ;;sp. 1;1;EBS;Supra;300 µm;54° 31,419' N;54° 32,495' N;172° 36,594' W;172° 32,014' W;3517;3504;0.01239;218.06752;34.66093;272.29665;3.16769;7.61195;81.75994;39.29917;0.00073;1.29421;54.0087275;54.00902639;-172.010165;-172.0088928
1_10;Bering Sea;ICUL13616;Tanaidomorpha;Akanthophoreidae;Chauliopleona;;sp. 1;1;EBS;Supra;300 µm;54° 31,419' N;54° 32,495' N;172° 36,594' W;172° 32,014' W;3517;3504;0.01239;218.06752;34.66093;272.29665;3.16769;7.61195;81.75994;39.29917;0.00073;1.29421;54.0087275;54.00902639;-172.010165;-172.0088928
1_10;Bering Sea;ICUL13617;Tanaidomorpha;Agathotanaidae;stet.;;sp. 1;1;EBS;Supra;300 µm;54° 31,419' N;54° 32,495' N;172° 36,594' W;172° 32,014' W;3517;3504;0.01239;218.06752;34.66093;272.29665;3.16769;7.61195;81.75994;39.29917;0.00073;1.29421;54.0087275;54.00902639;-172.010165;-172.0088928
1_10;Bering Sea;ICUL16604;Tanaidomorpha;Colletteidae;Leptognathiopsis ;;sp. 1;1;EBS;Supra;300 µm;54° 31,419' N;54° 32,495' N;172° 36,594' W;172° 32,014' W;3517;3504;0.01239;218.06752;34.66093;272.29665;3.16769;7.61195;81.75994;39.29917;0.00073;1.29421;54.0087275;54.00902639;-172.010165;-172.0088928
1_4;Bering Sea;ICUL13592;Tanaidomorpha;Tanaellidae;Araphura;;sp. 1;2;EBS;Supra;300 µm;54° 32,004' N;54° 31,293' N;172° 33,043' W;172° 38,046' W;3504;3524;0.01239;218.06752;34.66093;272.29665;3.16769;7.61195;81.75994;39.29917;0.00073;1.29421;54.00889;54.0086925;-172.0091786;-172.0105683
1_4;Bering Sea;ICUL13604;Tanaidomorpha;Tanaellidae;Araphura;;sp. 1;1;EBS;Supra;300 µm;54° 32,004' N;54° 31,293' N;172° 33,043' W;172° 38,046' W;3504;3524;0.01239;218.06752;34.66093;272.29665;3.16769;7.61195;81.75994;39.29917;0.00073;1.29421;54.00889;54.0086925;-172.0091786;-172.0105683
1_4;Bering Sea;ICUL12925;Tanaidomorpha;Akanthophoreidae;Chauliopleona;;sp. 1;1;EBS;Supra;300 µm;54° 32,004' N;54° 31,293' N;172° 33,043' W;172° 38,046' W;3504;3524;0.01239;218.06752;34.66093;272.29665;3.16769;7.61195;81.75994;39.29917;0.00073;1.29421;54.00889;54.0086925;-172.0091786;-172.0105683
